cod_curso;cod_ies;cod_municipio;cod_area;area;modalidade;conceito_enade_faixa;conceito_enade_continuo;conceito_enade_ano;inscritos;participantes;conceito_curso_faixa;conceito_curso_continuo;conceito_curso_ano
6397;266;3538709;36;Fisioterapia;Presencial;3;2.69360;2016;75;73;4;3.00870;2016
6398;266;3538709;28;Nutrição;Presencial;2;1.77220;2016;37;36;3;2.54860;2016
6399;266;3538709;3502;Educação Física (Licenciatura);Presencial;3;2.47110;2017;46;35;3;2.81280;2017
6410;266;3545803;5902;Engenharia Mecânica;Presencial;1;0.58400;2017;21;10;2;1.62900;2017
6411;266;3538709;19;Farmácia;Presencial;4;3.22430;2016;27;27;3;2.80950;2016
6412;266;3538709;2402;História (Licenciatura);Presencial;4;3.92330;2017;18;16;4;3.55730;2017
6417;266;3538709;3202;Filosofia (Licenciatura);Presencial;3;2.40550;2017;18;10;2;1.78430;2017
6422;266;3545803;21;Arquitetura E Urbanismo;Presencial;3;2.35890;2017;63;55;3;2.66440;2017
6423;266;3545803;6008;Engenharia Química;Presencial;2;1.49710;2017;66;52;3;2.51500;2017
6425;266;3527108;6;Odontologia;Presencial;-1;-1.00000;2016;1;1;-1;-1.00000;2016
20170;266;3545803;6002;Engenharia De Alimentos;Presencial;2;1.83720;2017;27;20;3;2.33300;2017
20171;266;3545803;5814;Engenharia De Controle E Automação;Presencial;2;1.86450;2017;21;13;3;2.84730;2017
20173;266;3545803;5902;Engenharia Mecânica;Presencial;-1;-1.00000;2017;1;0;-1;-1.00000;2017
27564;266;3538709;803;Comunicação Social - Jornalismo;Presencial;3;2.91545;2018;25;25;3;2.73829;2018
29936;266;3538709;804;Comunicação Social - Publicidade E Propaganda;Presencial;4;3.24402;2018;39;37;3;2.43574;2018
38617;266;3527108;2;Direito;Presencial;3;2.52065;2018;11;11;4;3.44621;2018
38963;266;3538709;2001;Pedagogia (Licenciatura);Presencial;4;3.33700;2017;27;26;4;3.28130;2017
54538;266;3538709;4006;Sistemas De Informação;Presencial;1;0.60830;2017;39;30;2;1.82780;2017
59114;266;3538709;904;Letras-Português (Licenciatura);Presencial;4;3.01190;2017;19;17;4;2.95300;2017
59115;266;3538709;6407;Letras - Inglês;Presencial;3;2.38660;2017;23;16;3;2.60100;2017
72540;266;3538709;23;Enfermagem;Presencial;4;3.00340;2016;11;11;4;3.57330;2016
74874;266;3545803;6208;Engenharia De Produção;Presencial;3;2.87730;2017;110;78;4;3.25310;2017
75837;266;3538709;3501;Educação Física (Bacharelado);Presencial;3;2.42280;2016;79;68;3;2.87350;2016
79926;266;3538709;702;Matemática (Licenciatura);Presencial;3;2.07800;2017;16;13;3;2.12860;2017
96569;266;3538709;1602;Ciências Biológicas (Licenciatura);Presencial;4;3.39620;2017;18;16;4;3.26800;2017
96571;266;3538709;1502;Química (Licenciatura);Presencial;3;2.45330;2017;19;18;4;2.97690;2017
98478;266;3538709;79;Tecnologia Em Redes De Computadores;Presencial;3;2.63110;2017;27;25;3;2.87720;2017
106880;266;3538709;4301;Música (Licenciatura);Presencial;1;0.83950;2017;26;19;2;1.79400;2017
115960;266;3545803;5902;Engenharia Mecânica;Presencial;2;1.74330;2017;62;56;3;2.52540;2017
116014;266;3527108;6;Odontologia;Presencial;2;1.34230;2016;83;80;3;2.21990;2016
415946;266;3538709;1601;Ciências Biológicas (Bacharelado);Presencial;2;1.58470;2017;21;17;3;2.42300;2017
1104072;266;3538709;104;Tecnologia Em Design Gráfico;Presencial;2;1.77968;2018;17;14;3;2.11229;2018
1146451;266;3545803;5710;Engenharia Civil;Presencial;3;1.97140;2017;63;51;3;2.49960;2017
1177432;266;3538709;81;Relações Internacionais;Presencial;3;2.34833;2018;6;6;3;2.59450;2018
1203444;266;3538709;76;Tecnologia Em Gestão Da Produção Industrial;Presencial;1;0.31420;2017;3;2;2;1.29890;2017
1203445;266;3545803;5806;Engenharia Elétrica;Presencial;3;2.25040;2017;6;6;4;3.18750;2017
6461;267;3205309;1;Administração;Presencial;5;4.23395;2018;23;23;4;3.81121;2018
6462;267;3205309;22;Ciências Contábeis;Presencial;5;4.19654;2018;23;23;5;4.10095;2018
18790;267;3205309;4004;Ciência Da Computação (Bacharelado);Presencial;4;3.64910;2017;19;19;4;3.45600;2017
21494;267;3205309;6208;Engenharia De Produção;Presencial;5;4.07950;2017;19;18;4;3.69500;2017
48393;267;3205309;4006;Sistemas De Informação;Presencial;4;3.49130;2017;18;18;4;3.52810;2017
53344;267;3205309;2;Direito;Presencial;5;4.67513;2018;31;31;5;4.42258;2018
83252;267;3205309;72;Tecnologia Em Análise E Desenvolvimento De Sistemas;Presencial;4;3.79840;2017;6;5;4;3.48380;2017
5000188;267;3205309;4003;Engenharia Da Computação;Presencial;4;3.52890;2017;4;4;4;2.99750;2017
6472;269;3555000;22;Ciências Contábeis;Presencial;3;2.53964;2018;17;17;3;1.99521;2018
6473;269;3555000;1;Administração;Presencial;2;1.40120;2018;36;34;2;1.63108;2018
49237;269;3555000;2001;Pedagogia (Licenciatura);Presencial;3;2.15790;2017;34;32;3;2.50860;2017
94861;269;3555000;4006;Sistemas De Informação;Presencial;2;1.08510;2017;19;18;2;1.73740;2017
100085;269;3555000;804;Comunicação Social - Publicidade E Propaganda;Presencial;2;1.53378;2018;9;9;2;1.29683;2018
100086;269;3555000;21;Arquitetura E Urbanismo;Presencial;2;1.37720;2017;62;49;2;1.83390;2017
1042020;269;3555000;803;Comunicação Social - Jornalismo;Presencial;2;1.82898;2018;12;12;2;1.46418;2018
1180755;269;3555000;6208;Engenharia De Produção;Presencial;2;1.34080;2017;12;11;2;1.20980;2017
6476;270;3555000;3502;Educação Física (Licenciatura);Presencial;2;1.36650;2017;23;22;3;2.24250;2017
71155;270;3555000;23;Enfermagem;Presencial;2;1.46080;2016;19;19;3;2.63530;2016
97249;270;3555000;28;Nutrição;Presencial;2;1.15420;2016;42;41;3;2.69670;2016
6478;271;3541406;2001;Pedagogia (Licenciatura);Presencial;3;2.52710;2017;32;29;4;3.25950;2017
6481;271;3541406;2501;Artes Visuais (Licenciatura);Presencial;2;1.50750;2017;18;18;3;2.66550;2017
6483;271;3541406;6;Odontologia;Presencial;4;3.29370;2016;96;67;4;3.62160;2016
6485;271;3541406;36;Fisioterapia;Presencial;4;3.14430;2016;47;35;4;3.33460;2016
6486;271;3541406;19;Farmácia;Presencial;4;3.01960;2016;21;21;4;3.57470;2016
6487;271;3541406;28;Nutrição;Presencial;5;4.04240;2016;17;11;5;4.22240;2016
6488;271;3541406;5710;Engenharia Civil;Presencial;3;2.21360;2017;313;197;3;2.91720;2017
6489;271;3541406;23;Enfermagem;Presencial;3;2.43260;2016;103;91;4;3.20630;2016
6490;271;3541406;17;Agronomia;Presencial;4;3.28360;2016;66;50;4;3.64300;2016
6491;271;3541406;4005;Ciência Da Computação (Licenciatura);Presencial;-1;-1.00000;2017;19;0;-1;-1.00000;2017
6492;271;3541406;2;Direito;Presencial;3;2.08686;2018;252;231;4;3.11241;2018
6493;271;3541406;22;Ciências Contábeis;Presencial;3;2.91550;2018;72;66;4;3.36872;2018
6494;271;3541406;1;Administração;Presencial;4;2.98982;2018;117;111;4;3.31588;2018
6495;271;3541406;51;Zootecnia;Presencial;5;4.93110;2016;4;4;5;4.49980;2016
6496;271;3541406;12;Medicina;Presencial;2;1.56260;2016;308;297;3;2.59890;2016
6497;271;3541406;5;Medicina Veterinária;Presencial;4;3.00590;2016;73;63;4;3.48990;2016
6498;271;3541406;18;Psicologia;Presencial;3;2.88658;2018;130;115;4;3.34204;2018
20587;271;3541406;27;Fonoaudiologia;Presencial;4;2.98700;2016;12;6;5;3.94580;2016
20588;271;3541406;4006;Sistemas De Informação;Presencial;4;3.90650;2017;31;27;4;3.79510;2017
22257;271;3541406;905;Letras-Português E Inglês (Licenciatura);Presencial;3;2.37160;2017;32;31;4;3.20000;2017
23326;271;3541406;804;Comunicação Social - Publicidade E Propaganda;Presencial;4;3.13180;2018;72;58;4;3.01725;2018
29392;271;3541406;803;Comunicação Social - Jornalismo;Presencial;2;1.79481;2018;50;37;3;2.88879;2018
49551;271;3541406;1602;Ciências Biológicas (Licenciatura);Presencial;4;3.61170;2017;28;9;4;3.93950;2017
49553;271;3541406;702;Matemática (Licenciatura);Presencial;3;2.74020;2017;13;13;4;3.50360;2017
49555;271;3541406;1502;Química (Licenciatura);Presencial;-1;-1.00000;2017;12;0;-1;-1.00000;2017
49559;271;3541406;2402;História (Licenciatura);Presencial;3;2.35300;2017;31;28;4;3.40920;2017
49561;271;3541406;3002;Geografia (Licenciatura);Presencial;4;3.36070;2017;14;10;4;3.82480;2017
63754;271;3541406;1402;Física (Licenciatura);Presencial;-1;-1.00000;2017;74;0;-1;-1.00000;2017
63822;271;3541406;6307;Engenharia Ambiental;Presencial;3;2.93080;2017;16;15;4;3.75380;2017
64335;271;3541406;103;Tecnologia Em Design De Interiores;Presencial;3;2.82968;2018;17;13;3;2.68642;2018
64360;271;3541406;93;Tecnologia Em Gestão Comercial;Presencial;3;2.65872;2018;11;8;4;3.42947;2018
68099;271;3541406;69;Tecnologia Em Radiologia;Presencial;3;2.49870;2016;21;12;4;3.21930;2016
68101;271;3541406;21;Arquitetura E Urbanismo;Presencial;3;2.07620;2017;118;109;3;2.73760;2017
105194;271;3541406;1601;Ciências Biológicas (Bacharelado);Presencial;3;2.85740;2017;38;22;4;3.48090;2017
115438;271;3541406;3501;Educação Física (Bacharelado);Presencial;3;2.39960;2016;110;92;4;3.21340;2016
120805;271;3541406;1501;Química (Bacharelado);Presencial;3;2.47460;2017;26;11;4;3.52420;2017
120807;271;3541406;79;Tecnologia Em Redes De Computadores;Presencial;3;2.68950;2017;9;8;4;3.50350;2017
120810;271;3541406;90;Tecnologia Em Agronegócios;Presencial;4;3.33620;2016;27;26;4;3.54740;2016
120818;271;3541406;6409;Tecnologia Em Gestão Da Tecnologia Da Informação;Presencial;-1;-1.00000;2017;8;0;-1;-1.00000;2017
1155378;271;3541406;6208;Engenharia De Produção;Presencial;4;3.64100;2017;61;42;4;3.77430;2017
1155384;271;3541406;4301;Música (Licenciatura);Presencial;3;2.32570;2017;20;20;4;2.97400;2017
1156750;271;3541406;55;Biomedicina;Presencial;5;4.02410;2016;15;13;5;3.97630;2016
1160204;271;3541406;95;Tecnologia Em Estética E Cosmética;Presencial;2;1.85810;2016;64;61;3;2.90450;2016
1287881;271;3541406;88;Tecnologia Em Gastronomia;Presencial;3;2.84980;2018;33;31;4;3.38317;2018
1321430;271;3541406;104;Tecnologia Em Design Gráfico;Presencial;2;1.17682;2018;19;17;3;2.38927;2018
6566;275;3549904;2402;História (Licenciatura);Presencial;3;2.85000;2017;23;20;3;2.60020;2017
6568;275;3549904;2001;Pedagogia (Licenciatura);Presencial;4;3.19160;2017;7;6;4;3.75860;2017
6569;275;3549904;5710;Engenharia Civil;Presencial;2;1.51240;2017;118;93;3;2.59640;2017
6571;275;3549904;2;Direito;Presencial;3;2.92259;2018;181;164;3;2.23234;2018
6573;275;3549904;38;Serviço Social;Presencial;-1;-1.00000;2016;1;0;-1;-1.00000;2016
6574;275;3549904;21;Arquitetura E Urbanismo;Presencial;3;2.42390;2017;75;48;3;2.53330;2017
6575;275;3549904;3002;Geografia (Licenciatura);Presencial;3;2.20020;2017;7;6;3;2.32670;2017
6577;275;3549904;1;Administração;Presencial;3;2.84696;2018;11;11;2;1.94370;2018
6578;275;3549904;1602;Ciências Biológicas (Licenciatura);Presencial;5;4.01850;2017;9;7;4;3.29960;2017
6581;275;3549904;702;Matemática (Licenciatura);Presencial;-1;-1.00000;2017;1;1;-1;-1.00000;2017
6583;275;3549904;6;Odontologia;Presencial;3;2.18660;2016;33;32;3;2.66350;2016
6584;275;3549904;3502;Educação Física (Licenciatura);Presencial;3;2.23470;2017;23;17;3;2.32720;2017
18452;275;3549904;23;Enfermagem;Presencial;3;2.70090;2016;10;9;3;2.86010;2016
18453;275;3549904;36;Fisioterapia;Presencial;4;3.21000;2016;9;9;4;3.09690;2016
22080;275;3549904;4003;Engenharia Da Computação;Presencial;1;0.11250;2017;8;7;2;1.43560;2017
22263;275;3549904;5806;Engenharia Elétrica;Presencial;3;2.24040;2017;8;8;4;3.19440;2017
23331;275;3549904;804;Comunicação Social - Publicidade E Propaganda;Presencial;3;2.37103;2018;29;28;3;2.06117;2018
33482;275;3549904;803;Comunicação Social - Jornalismo;Presencial;3;2.27559;2018;36;30;2;1.89299;2018
49940;275;3549904;6306;Engenharia;Presencial;3;2.35040;2017;8;6;4;3.15800;2017
49946;275;3549904;6306;Engenharia;Presencial;2;1.82230;2017;17;17;3;2.78950;2017
57292;275;3549904;6307;Engenharia Ambiental;Presencial;3;2.90300;2017;15;15;4;3.48870;2017
74928;275;3549904;28;Nutrição;Presencial;-1;-1.00000;2016;2;1;-1;-1.00000;2016
74934;275;3549904;55;Biomedicina;Presencial;3;2.35900;2016;15;13;4;3.00920;2016
96489;275;3524402;1502;Química (Licenciatura);Presencial;-1;-1.00000;2017;2;0;-1;-1.00000;2017
101578;275;3549904;2501;Artes Visuais (Licenciatura);Presencial;-1;-1.00000;2017;2;1;-1;-1.00000;2017
113933;275;3549904;6008;Engenharia Química;Presencial;2;1.60050;2017;42;41;3;2.74570;2017
117366;275;3549904;88;Tecnologia Em Gastronomia;Presencial;4;3.22135;2018;29;27;4;3.01092;2018
122732;275;3509700;2001;Pedagogia (Licenciatura);Presencial;3;2.93030;2017;21;21;4;3.02290;2017
306575;275;3549904;3001;Geografia (Bacharelado);Presencial;-1;-1.00000;2017;1;0;-1;-1.00000;2017
306578;275;3549904;1601;Ciências Biológicas (Bacharelado);Presencial;3;2.06070;2017;15;14;3;2.57330;2017
306584;275;3549904;3501;Educação Física (Bacharelado);Presencial;3;2.18730;2016;57;49;3;2.26100;2016
396489;275;3524402;1501;Química (Bacharelado);Presencial;-1;-1.00000;2017;1;0;-1;-1.00000;2017
401564;275;3549904;1501;Química (Bacharelado);Presencial;1;0.52230;2017;7;5;2;1.81690;2017
6616;276;3552205;2;Direito;Presencial;4;3.40041;2018;172;172;3;2.42104;2018
6621;277;3304557;22;Ciências Contábeis;Presencial;3;2.15434;2018;94;87;3;2.70395;2018
6622;277;3304557;2;Direito;Presencial;3;2.38955;2018;431;275;3;2.86950;2018
6623;277;3304557;38;Serviço Social;Presencial;3;2.07421;2018;97;84;3;2.29304;2018
6625;277;3304557;2402;História (Licenciatura);Presencial;3;2.18830;2017;57;45;3;2.77490;2017
6629;277;3304557;5710;Engenharia Civil;Presencial;2;1.34540;2017;244;216;3;2.32530;2017
6631;277;3304557;36;Fisioterapia;Presencial;4;3.10340;2016;34;25;3;2.82750;2016
6634;277;3304557;1602;Ciências Biológicas (Licenciatura);Presencial;2;1.65360;2017;51;37;3;2.43320;2017
19241;277;3304557;72;Tecnologia Em Análise E Desenvolvimento De Sistemas;Presencial;2;1.92910;2017;7;4;3;2.24470;2017
19242;277;3304557;4004;Ciência Da Computação (Bacharelado);Presencial;2;1.64970;2017;62;41;3;2.32060;2017
27567;277;3304557;804;Comunicação Social - Publicidade E Propaganda;Presencial;2;1.78084;2018;84;78;3;2.56448;2018
29947;277;3304557;803;Comunicação Social - Jornalismo;Presencial;2;1.85408;2018;39;35;3;2.56696;2018
54382;277;3304557;19;Farmácia;Presencial;3;2.49380;2016;53;50;3;2.90590;2016
54385;277;3304557;23;Enfermagem;Presencial;3;1.96280;2016;103;96;3;2.39780;2016
54387;277;3304557;28;Nutrição;Presencial;3;2.27870;2016;61;57;3;2.68690;2016
62584;277;3304557;3502;Educação Física (Licenciatura);Presencial;3;2.14490;2017;272;206;3;2.57030;2017
70907;277;3304557;95;Tecnologia Em Estética E Cosmética;Presencial;1;0.68790;2016;4;2;2;1.87470;2016
96300;277;3304557;6306;Engenharia;Presencial;1;0.33250;2017;10;8;2;1.25430;2017
96304;277;3304557;6208;Engenharia De Produção;Presencial;2;1.36620;2017;72;66;3;2.20950;2017
96306;277;3304557;21;Arquitetura E Urbanismo;Presencial;2;1.65830;2017;269;237;3;2.25550;2017
103950;277;3304557;3501;Educação Física (Bacharelado);Presencial;3;2.03800;2016;152;123;3;2.28570;2016
111914;277;3304557;88;Tecnologia Em Gastronomia;Presencial;3;2.73394;2018;46;40;3;2.60301;2018
114044;277;3304557;2001;Pedagogia (Licenciatura);Presencial;3;2.00440;2017;195;173;3;2.60330;2017
117296;277;3304557;1;Administração;Presencial;3;2.05475;2018;180;167;3;2.57440;2018
117434;277;3304557;84;Tecnologia Em Marketing;Presencial;2;1.57009;2018;17;15;3;2.17217;2018
123157;277;3304557;18;Psicologia;Presencial;2;1.79870;2018;161;157;3;2.73170;2018
1153667;277;3304557;1;Administração;Presencial;2;1.88709;2018;38;38;3;2.43321;2018
1153682;277;3304557;1;Administração;Presencial;3;2.09886;2018;122;118;3;2.61252;2018
1153683;277;3304557;38;Serviço Social;Presencial;3;2.03670;2016;30;28;3;2.57780;2016
1153684;277;3304557;22;Ciências Contábeis;Presencial;3;2.06219;2018;57;53;3;2.76647;2018
1153685;277;3304557;23;Enfermagem;Presencial;2;1.79560;2016;48;46;3;2.34210;2016
1153688;277;3304557;19;Farmácia;Presencial;3;2.14610;2016;29;28;3;2.43410;2016
1153690;277;3304557;3502;Educação Física (Licenciatura);Presencial;3;2.03090;2017;324;282;3;2.57450;2017
1153691;277;3304557;95;Tecnologia Em Estética E Cosmética;Presencial;3;2.29640;2016;33;30;3;2.54180;2016
1153692;277;3304557;5710;Engenharia Civil;Presencial;2;1.54810;2017;143;135;3;2.07050;2017
1153693;277;3304557;6208;Engenharia De Produção;Presencial;2;1.84840;2017;51;50;3;2.58820;2017
1153694;277;3304557;1;Administração;Presencial;2;1.58910;2018;11;11;3;2.73474;2018
1171194;277;3304557;94;Tecnologia Em Logística;Presencial;3;2.65712;2018;19;19;3;2.86396;2018
1178674;277;3304557;5806;Engenharia Elétrica;Presencial;2;1.88200;2017;42;40;3;2.42510;2017
1178686;277;3304557;5806;Engenharia Elétrica;Presencial;2;1.21160;2017;58;55;3;2.17860;2017
1185667;277;3304557;1601;Ciências Biológicas (Bacharelado);Presencial;2;1.52480;2017;31;28;3;2.48910;2017
1185746;277;3304557;3501;Educação Física (Bacharelado);Presencial;2;1.24430;2016;138;121;2;1.82040;2016
1204695;277;3304557;5710;Engenharia Civil;Presencial;3;2.05440;2017;38;37;4;3.47680;2017
1279297;277;3304557;86;Tecnologia Em Gestão De Recursos Humanos;Presencial;3;2.05006;2018;34;32;3;2.51837;2018
1279298;277;3304557;5902;Engenharia Mecânica;Presencial;3;2.84810;2017;2;2;3;2.78370;2017
1349567;277;3304557;5710;Engenharia Civil;Presencial;4;3.58820;2017;3;3;3;2.75660;2017
1349568;277;3304557;6208;Engenharia De Produção;Presencial;3;2.76760;2017;6;6;4;2.98650;2017
6663;278;3304557;1;Administração;Presencial;2;1.73526;2018;145;118;3;2.41839;2018
6664;278;3304557;22;Ciências Contábeis;Presencial;2;1.20645;2018;68;48;3;2.30714;2018
6665;278;3304557;2001;Pedagogia (Licenciatura);Presencial;2;1.41350;2017;198;161;3;2.46020;2017
6668;278;3304557;72;Tecnologia Em Análise E Desenvolvimento De Sistemas;Presencial;2;1.25650;2017;36;31;3;2.17260;2017
18317;278;3304557;2402;História (Licenciatura);Presencial;2;1.30800;2017;98;72;3;2.35230;2017
18318;278;3304557;3002;Geografia (Licenciatura);Presencial;3;2.09910;2017;33;17;3;2.38910;2017
28132;278;3304557;905;Letras-Português E Inglês (Licenciatura);Presencial;2;1.63990;2017;38;28;3;2.47050;2017
29948;278;3304557;904;Letras-Português (Licenciatura);Presencial;2;1.35180;2017;59;47;3;2.46760;2017
150241;278;3304557;85;Tecnologia Em Processos Gerenciais;Presencial;2;1.73481;2018;12;3;2;1.93763;2018
1103908;278;3304557;4005;Ciência Da Computação (Licenciatura);Presencial;2;1.67830;2017;15;13;3;2.15090;2017
1103970;278;3304557;906;Letras-Português E Espanhol (Licenciatura);Presencial;-1;-1.00000;2017;1;1;-1;-1.00000;2017
1258622;278;3304557;38;Serviço Social;Presencial;2;1.33724;2018;94;84;3;2.31257;2018
6681;279;3304557;29;Turismo;Presencial;3;2.92148;2018;23;15;3;2.43467;2018
27569;279;3304557;803;Comunicação Social - Jornalismo;Presencial;3;2.63314;2018;118;104;3;2.41232;2018
28133;279;3304557;804;Comunicação Social - Publicidade E Propaganda;Presencial;3;2.59722;2018;138;122;3;2.40659;2018
79490;279;3304557;803;Comunicação Social - Jornalismo;Presencial;2;1.94487;2018;60;58;3;2.19872;2018
79491;279;3304557;804;Comunicação Social - Publicidade E Propaganda;Presencial;3;2.78618;2018;62;50;3;2.45915;2018
102586;279;3304557;2;Direito;Presencial;1;0.90950;2018;34;26;2;1.36145;2018
1305149;279;3304557;84;Tecnologia Em Marketing;Presencial;4;3.41421;2018;9;9;4;3.13839;2018
6711;284;3132404;12;Medicina;Presencial;3;2.83450;2016;77;77;3;2.24120;2016
6723;288;3127701;2;Direito;Presencial;2;1.88602;2018;239;227;3;2.28079;2018
6741;294;4321808;1;Administração;Presencial;3;2.51464;2018;32;31;3;2.48348;2018
20130;294;4321808;4006;Sistemas De Informação;Presencial;3;2.54770;2017;16;15;3;2.44630;2017
32470;294;4321808;2001;Pedagogia (Licenciatura);Presencial;5;3.95190;2017;16;15;4;3.20800;2017
45559;294;4321808;23;Enfermagem;Presencial;3;2.47680;2016;21;20;3;2.73400;2016
68980;294;4321808;6208;Engenharia De Produção;Presencial;3;2.21270;2017;23;23;3;2.39190;2017
72485;294;4321808;79;Tecnologia Em Redes De Computadores;Presencial;3;2.61080;2017;9;9;3;2.63710;2017
104028;294;4321808;18;Psicologia;Presencial;2;1.70892;2018;21;19;3;2.34453;2018
119212;294;4321808;17;Agronomia;Presencial;4;3.57140;2016;26;26;4;3.31980;2016
1077618;294;4321808;83;Tecnologia Em Design De Moda;Presencial;2;1.87514;2018;15;13;3;2.03140;2018
6743;295;4316808;2;Direito;Presencial;3;2.65047;2018;192;182;4;3.08909;2018
6747;295;4316808;3502;Educação Física (Licenciatura);Presencial;3;2.84490;2017;34;33;3;2.92330;2017
6748;295;4316808;22;Ciências Contábeis;Presencial;3;2.63291;2018;56;50;4;2.96651;2018
6749;295;4316808;1;Administração;Presencial;3;2.66872;2018;91;85;3;2.91626;2018
6750;295;4316808;2001;Pedagogia (Licenciatura);Presencial;3;2.19700;2017;99;90;4;2.97530;2017
6751;295;4316808;13;Ciências Econômicas;Presencial;3;2.19020;2018;20;19;4;3.04978;2018
6752;295;4316808;1502;Química (Licenciatura);Presencial;3;2.42130;2017;6;6;4;3.14750;2017
6754;295;4316808;702;Matemática (Licenciatura);Presencial;2;1.92620;2017;19;19;3;2.74490;2017
6755;295;4316808;1501;Química (Bacharelado);Presencial;2;1.20400;2017;7;7;3;1.98740;2017
6756;295;4316808;4004;Ciência Da Computação (Bacharelado);Presencial;3;2.38610;2017;52;47;3;2.77430;2017
6757;295;4316808;18;Psicologia;Presencial;3;2.84788;2018;37;35;4;3.42381;2018
18517;295;4316808;29;Turismo;Presencial;1;0.66014;2018;11;11;2;1.72349;2018
19003;295;4316808;36;Fisioterapia;Presencial;4;3.22120;2016;48;48;3;2.89220;2016
19004;295;4316808;6;Odontologia;Presencial;3;2.84640;2016;57;57;3;2.91370;2016
20107;295;4316808;21;Arquitetura E Urbanismo;Presencial;4;2.98000;2017;67;66;3;2.68620;2017
20108;295;4316808;28;Nutrição;Presencial;4;3.12640;2016;25;25;4;3.35470;2016
20109;295;4316808;4005;Ciência Da Computação (Licenciatura);Presencial;5;4.11460;2017;6;6;5;4.29840;2017
20141;295;4320701;22;Ciências Contábeis;Presencial;3;2.55746;2018;16;16;4;3.53156;2018
21709;295;4316808;38;Serviço Social;Presencial;3;2.65280;2016;19;19;4;3.07653;2018
27572;295;4316808;803;Comunicação Social - Jornalismo;Presencial;3;2.00775;2018;25;22;4;2.95671;2018
28140;295;4316808;18;Psicologia;Presencial;3;2.91668;2018;44;40;4;3.43671;2018
29951;295;4316808;1602;Ciências Biológicas (Licenciatura);Presencial;4;2.94790;2017;13;12;4;3.45230;2017
33495;295;4316808;804;Comunicação Social - Publicidade E Propaganda;Presencial;2;1.63877;2018;29;24;3;2.37381;2018
38525;295;4316808;19;Farmácia;Presencial;3;2.89470;2016;31;31;4;3.23270;2016
55276;295;4316808;904;Letras-Português (Licenciatura);Presencial;4;3.12120;2017;5;5;4;2.99160;2017
55316;295;4316808;6407;Letras - Inglês;Presencial;3;2.14640;2017;10;10;3;2.03610;2017
55324;295;4316808;3002;Geografia (Licenciatura);Presencial;3;2.13680;2017;7;7;4;2.95340;2017
55327;295;4316808;2402;História (Licenciatura);Presencial;4;3.23810;2017;37;31;4;3.58350;2017
59270;295;4304630;1;Administração;Presencial;4;3.22604;2018;9;9;4;3.67956;2018
64443;295;4304630;2;Direito;Presencial;3;2.47514;2018;39;39;4;3.20575;2018
64458;295;4316808;1601;Ciências Biológicas (Bacharelado);Presencial;3;2.07750;2017;22;21;3;2.72270;2017
64474;295;4316808;23;Enfermagem;Presencial;3;2.30060;2016;75;75;3;2.64430;2016
64478;295;4316808;6208;Engenharia De Produção;Presencial;3;2.45170;2017;50;45;3;2.68760;2017
64542;295;4322608;1;Administração;Presencial;3;2.92843;2018;22;19;4;3.23312;2018
67108;295;4322608;2;Direito;Presencial;2;1.21337;2018;33;33;3;2.27934;2018
73500;295;4316808;3501;Educação Física (Bacharelado);Presencial;3;2.39150;2016;35;34;3;2.43470;2016
75235;295;4316808;4003;Engenharia Da Computação;Presencial;4;3.02840;2017;19;19;3;2.90000;2017
75242;295;4316808;5902;Engenharia Mecânica;Presencial;3;2.15960;2017;50;45;3;2.51660;2017
75252;295;4316808;1402;Física (Licenciatura);Presencial;4;3.66730;2017;7;7;4;3.47990;2017
89750;295;4316808;6307;Engenharia Ambiental;Presencial;4;3.28250;2017;23;22;4;3.17690;2017
91399;295;4316808;12;Medicina;Presencial;4;3.11750;2016;58;58;4;3.20690;2016
95853;295;4320701;2;Direito;Presencial;2;1.61404;2018;43;41;3;2.84879;2018
98294;295;4316808;5710;Engenharia Civil;Presencial;3;1.96760;2017;92;88;3;2.35300;2017
102762;295;4316808;88;Tecnologia Em Gastronomia;Presencial;4;3.28401;2018;14;13;3;2.94144;2018
106770;295;4316808;67;Secretariado Executivo;Presencial;3;2.26237;2018;4;3;4;3.37613;2018
111306;295;4316808;95;Tecnologia Em Estética E Cosmética;Presencial;4;3.21170;2016;8;8;4;3.26690;2016
114666;295;4316808;5806;Engenharia Elétrica;Presencial;3;2.26580;2017;48;44;3;2.62680;2017
114668;295;4316808;81;Relações Internacionais;Presencial;3;2.14708;2018;23;20;3;2.82797;2018
1081074;295;4312401;1;Administração;Presencial;3;2.31786;2018;33;33;4;2.96538;2018
1081078;295;4312401;22;Ciências Contábeis;Presencial;2;1.58444;2018;9;9;3;2.10320;2018
1081609;295;4312401;72;Tecnologia Em Análise E Desenvolvimento De Sistemas;Presencial;4;3.21620;2017;9;9;3;2.93380;2017
1204814;295;4312401;3502;Educação Física (Licenciatura);Presencial;-1;-1.00000;2017;1;1;-1;-1.00000;2017
1264809;295;4316808;906;Letras-Português E Espanhol (Licenciatura);Presencial;4;3.29290;2017;6;6;5;3.94740;2017
1264813;295;4316808;905;Letras-Português E Inglês (Licenciatura);Presencial;4;3.45990;2017;5;5;4;3.93180;2017
1369559;295;4316808;5814;Engenharia De Controle E Automação;Presencial;-1;-1.00000;2017;1;0;-1;-1.00000;2017
6803;296;4301602;2001;Pedagogia (Licenciatura);Presencial;3;2.79970;2017;24;24;3;2.73340;2017
